着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),日付
9,8,9,"
ボストンプラチナ
",牡7,63,"
上野翔
",4:55.6,5,"
",10-10-10-9,13.9,164.2,10,458(-6),"
","

","
","
[東]
柄崎孝
","
ボストンホース
",,201406030711
10,1,1,"
スズカマジェスタ
",牡6,63,"
林満明
",4:59.1,大,"
",8-8-9-10,14.1,70.8,9,482(-2),"

","

","
","
[西]
橋田満
","
永井啓弍
",,201406030711
1,2,4,"
ブラインドサイド
",牡5,57,"
田辺裕信
",1:54.3,,"

**

",11-10-9-7,36.2,5.1,2,498(0),"

","

","
","
[東]
加藤征弘
","
諸江幸祐
",1521.3,201406030712
2,4,7,"
グッドマイスター
",牡5,57,"
後藤浩輝
",1:54.3,クビ,"

**

",7-3-3-2,36.7,3.3,1,482(-4),"

","

","



","
[西]
安田隆行
","
久保博文
",601.8,201406030712
3,3,6,"
サウンドトゥルー
",牡4,57,"
蛯名正義
",1:54.3,ハナ,"

**

",9-9-6-5,36.5,5.8,3,478(-2),"

","

","
","
[東]
高木登
","
山田弘
",375.9,201406030712
4,6,11,"
エルマンボ
",牡4,57,"
戸崎圭太
",1:54.9,3.1/2,"

**

",5-6-6-7,37,6.3,4,530(+6),"

","

","
","
[東]
堀宣行
","
キャロットファーム
",220,201406030712
5,7,13,"
コスモマイギフト
",牡5,57,"
柴田大知
",1:55.0,1/2,"

**

",15-15-11-7,36.8,58.2,12,500(0),"

","

","
","
[東]
堀井雅広
","
ビッグレッドファーム
",148,201406030712
6,4,8,"
クワイアーソウル
",牡6,57,"
三浦皇成
",1:55.1,1/2,"

**

",3-3-3-4,37.5,26.2,9,500(-4),"

","

","
","
[東]
萩原清
","
ノースヒルズ
",,201406030712
7,2,3,"
トミケンユークアイ
",セ5,57,"
松岡正海
",1:55.1,アタマ,"

**

",1-1-1-1,37.7,52.6,11,492(-10),"

","

","
","
[東]
水野貴広
","
冨樫賢二
",,201406030712
8,8,15,"
ロンギングエース
",牡4,57,"
石橋脩
",1:55.1,ハナ,"

**

",12-14-15-13,36.5,6.9,5,508(-2),"

","

","
","
[東]
勢司和浩
","
坂本浩一
",,201406030712
9,5,9,"
オアフライダー
",牡4,57,"
吉田豊
",1:55.2,1/2,"

**

",12-12-13-12,36.9,84,13,480(-6),"

","

","



","
[東]
田村康仁
","
ＨｉｍＲｏｃｋＲａｃｉｎｇ
",,201406030712
10,1,1,"
スノーモンキー
",牡4,57,"
内田博幸
",1:55.5,1.3/4,"

**

",5-6-9-11,37.5,12.2,6,448(0),"

","

","
","
[東]
相沢郁
","
石瀬浩三
",,201406030712
11,3,5,"
バイタルフォルム
",牡4,57,"
江田照男
",1:55.6,1/2,"

**

",3-3-3-5,37.9,44.1,10,486(-4),"

","

","
","
[東]
新開幸一
","
高樽さゆり
",,201406030712
12,5,10,"
サトノレオパード
",セ5,57,"
柴田善臣
",1:55.9,2,"

**

",2-2-2-3,38.4,23.5,7,496(+4),"

","

","



","
[東]
藤沢和雄
","
里見治
",,201406030712
13,6,12,"
ゴールウェイ
",牝5,55,"
田中勝春
",1:56.2,1.3/4,"

**

",12-12-13-13,37.8,173.2,14,474(+2),"

","

","
","
[東]
栗田徹
","
吉田和美
",,201406030712
14,1,2,"
タイセイローマン
",牡5,57,"
北村宏司
",1:56.3,1/2,"

**

",7-6-6-7,38.5,25,8,494(+2),"

","

","
","
[東]
新開幸一
","
田中成奉
",,201406030712
15,7,14,"
ブレイクチャンス
",セ7,57,"
武士沢友
",1:56.4,1/2,"

**

",16-15-15-16,37.9,274,15,490(-4),"

","

","



","
[東]
手塚貴久
","
齊藤四方司
",,201406030712
16,8,16,"
ブライトポジー
",牝5,55,"
柴田未崎
",1:57.0,3.1/2,"

**

",10-10-11-13,38.8,363.7,16,448(+2),"

","

","
","
[東]
堀井雅広
","
ターフ・スポート
",,201406030712
1,7,12,"
サウンドガガ
",牝5,52,"
武豊
",1:10.4,,"

**

",1-1,35.7,5.9,3,494(+2),"

","

","
","
[西]
佐藤正雄
","
増田雄一
",2044.8,201406030810
2,5,7,"
ダッシャーワン
",牡6,55,"
戸崎圭太
",1:10.8,2.1/2,"

**

",6-5,35.6,4.5,2,506(+4),"

","

","
","
[西]
安田隆行
","
芦田信
",812.8,201406030810
3,7,11,"
アビリティラヴ
",牡4,55,"
柴田善臣
",1:10.9,クビ,"

**

",2-2,35.9,3,1,486(0),"

","

","
","
[東]
本間忍
","
本間充
",506.4,201406030810
4,3,4,"
マルカバッケン
",牡7,57.5,"
横山典弘
",1:10.9,アタマ,"

**

",7-7,35.5,15.8,6,490(0),"

","

","
","
[西]
浜田多実
","
河長産業
",300,201406030810
5,6,9,"
シセイオウジ
",牡7,55,"
田中勝春
",1:11.0,3/4,"

**

",11-10,35.3,9.7,5,464(-8),"

","

","
","
[東]
宗像義忠
","
猪苗代勇
",200,201406030810
6,2,2,"
トウショウカズン
",牡7,56,"
浜中俊
",1:11.1,1/2,"

**

",4-2,36,27.9,9,526(-4),"

","

","
","
[西]
今野貞一
","
トウショウ産業
",,201406030810
7,4,6,"
フィールドシャイン
",牡7,53,"
内田博幸
",1:11.1,アタマ,"

**

",2-2,36.2,52.7,11,486(0),"

","

","
","
[西]
西園正都
","
地田勝三
",,201406030810
8,3,3,"
ヘニーハウンド
",牡6,55,"
後藤浩輝
",1:11.1,ハナ,"

**

",7-7,35.7,21.4,8,502(-2),"

","

","



","
[西]
矢作芳人
","
林正道
",,201406030810
9,1,1,"
メイショウツチヤマ
",牡7,53,"
岩田康誠
",1:11.3,1.1/2,"

**

",11-10,35.5,98.3,13,490(+2),"

","

","



","
[東]
小島太
","
松本好雄
",,201406030810
10,8,13,"
デュアルスウォード
",牡6,55,"
北村宏司
",1:11.6,2,"

**

",7-9,36.2,7.2,4,492(+4),"

","

","
","
[東]
手塚貴久
","
サンデーレーシング
",,201406030810
11,4,5,"
キクノストーム
",牡5,54,"
柴田大知
",1:11.7,クビ,"

**

",13-13,35.7,17.9,7,488(-6),"

","

","
","
[西]
吉田直弘
","
菊池五郎
",,201406030810
12,8,14,"
コレクターアイテム
",牝4,52,"
松岡正海
",1:12.1,2.1/2,"

**

",4-5,37,28.9,10,476(-4),"

","

","
","
[西]
須貝尚介
","
Ｇ１レーシング
",,201406030810
13,5,8,"
レジェトウショウ
",牝8,51,"
江田照男
",1:12.3,1.1/4,"

**

",14-14,35.9,192.3,14,476(+6),"

","

","



","
[東]
土田稔
","
トウショウ産業
",,201406030810
14,6,10,"
アーリーデイズ
",セ7,54,"
シュタル
",1:12.4,クビ,"

**

",7-10,37,85.9,12,460(-8),"

","

","
","
[西]
中竹和也
","
加藤守
",,201406030810
1,1,2,"
イスラボニータ
",牡3,57,"
蛯名正義
",1:59.6,,"

**

",8-8-7-4,34.6,5.1,2,462(0),"

","

","
","
[東]
栗田博憲
","
社台レースホース
",12840.2,201406030811
2,8,17,"
トゥザワールド
",牡3,57,"
川田将雅
",1:59.8,1.1/4,"

**

",3-3-3-3,35.2,3.5,1,510(-8),"

","

","
","
[西]
池江泰寿
","
キャロットファーム
",4797.2,201406030811
3,8,18,"
ウインフルブルーム
",牡3,57,"
柴田大知
",1:59.9,1/2,"

**

",1-1-1-1,35.6,24.9,8,488(-2),"

","

","
","
[西]
宮本博
","
ウイン
",2848.6,201406030811
4,1,1,"
ワンアンドオンリー
",牡3,57,"
横山典弘
",1:59.9,アタマ,"

**

",18-18-17-12,34.3,6.7,4,478(-6),"

","

","
","
[西]
橋口弘次
","
前田幸治
",1500,201406030811
5,4,8,"
ステファノス
",牡3,57,"
後藤浩輝
",2:00.0,1/2,"

**

",11-11-10-8,34.8,99.7,15,468(0),"

","

","
","
[西]
藤原英昭
","
キャロットファーム
",970,201406030811
6,8,16,"
アジアエクスプレス
",牡3,57,"
戸崎圭太
",2:00.0,ハナ,"

**

",2-2-2-2,35.5,7.5,5,524(-4),"

","

","
","
[東]
手塚貴久
","
馬場幸夫
",,201406030811
7,5,10,"
ベルキャニオン
",牡3,57,"
福永祐一
",2:00.1,3/4,"

**

",15-15-17-16,34.5,61.5,13,476(0),"

","

","
","
[東]
堀宣行
","
金子真人ホールディングス
",,201406030811
8,2,3,"
クラリティシチー
",牡3,57,"
内田博幸
",2:00.1,ハナ,"

**

",11-12-10-12,34.8,47.7,10,476(+2),"

","

","
","
[東]
上原博之
","
友駿ホースクラブ
",,201406030811
9,3,6,"
アドマイヤデウス
",牡3,57,"
岩田康誠
",2:00.2,3/4,"

**

",10-9-7-8,35.1,19.7,7,464(-6),"

","

","
","
[西]
橋田満
","
近藤利一
",,201406030811
10,6,11,"
ロサギガンティア
",牡3,57,"
柴田善臣
",2:00.2,アタマ,"

**

",9-9-10-8,35,11.6,6,528(0),"

","

","



","
[東]
藤沢和雄
","
社台レースホース
",,201406030811
11,4,7,"
トーセンスターダム
",牡3,57,"
武豊
",2:00.3,クビ,"

**

",5-5-5-7,35.5,5.4,3,486(-4),"

","

","
","
[西]
池江泰寿
","
島川隆哉
",,201406030811
11,7,14,"
バウンスシャッセ
",牝3,55,"
北村宏司
",2:00.3,同着,"

**

",3-3-3-4,35.7,53.3,12,518(+2),"

","

","
","
[東]
藤沢和雄
","
キャロットファーム
",,201406030811
13,7,15,"
コウエイワンマン
",牡3,57,"
松岡正海
",2:00.5,1.1/4,"

**

",17-17-14-16,35,316.2,18,530(0),"

","

","
","
[西]
川村禎彦
","
西岡静男
",,201406030811
14,5,9,"
スズカデヴィアス
",牡3,57,"
シュタル
",2:00.5,ハナ,"

**

",14-12-14-14,35.1,75.8,14,486(0),"

","

","



","
[西]
橋田満
","
永井啓弍
",,201406030811
15,7,13,"
キングズオブザサン
",牡3,57,"
浜中俊
",2:00.8,2,"

**

",5-5-5-4,36,53,11,464(-6),"

","

","
","
[西]
荒川義之
","
社台レースホース
",,201406030811
16,3,5,"
アデイインザライフ
",牡3,57,"
田辺裕信
",2:01.2,2.1/2,"

**

",16-16-10-8,36,45,9,540(-4),"

","

","



","
[東]
鈴木康弘
","
池谷誠一
",,201406030811
17,6,12,"
タガノグランパ
",牡3,57,"
石橋脩
",2:01.3,クビ,"

**

",11-12-14-14,35.8,126.8,16,468(-4),"

","

","
","
[西]
松田博資
","
八木良司
",,201406030811
18,2,4,"
クリノカンパニー
",牡3,57,"
江田照男
",2:03.7,大,"

**

",5-5-7-16,38.7,259.3,17,472(-8),"

","

","
","
[西]
荒川義之
","
栗本博晴
",,201406030811
1,8,12,"
アーデント
",牡5,57,"
武豊
",1:34.0,,"

**

",2-1-1,35.6,11,6,484(+12),"

","

","
","
[東]
加藤征弘
","
キャロットファーム
",1818.7,201406030812
2,4,4,"
ホーカーテンペスト
",牡5,57,"
北村宏司
",1:34.2,1.1/4,"

**

",6-7-6,34.1,3.1,1,502(+2),"

","

","
","
[東]
藤沢和雄
","
キャロットファーム
",728.2,201406030812
3,1,1,"
シベリアンスパーブ
",牡5,57,"
松岡正海
",1:34.2,ハナ,"

**

",2-3-3,34.5,10.4,5,496(+2),"

","

","
","
[東]
手塚貴久
","
藤田在子
",454.1,201406030812
4,5,6,"
フラアンジェリコ
",牡6,57,"
戸崎圭太
",1:34.3,1/2,"

**

",6-8-8,34.1,5.5,3,506(-6),"

","

","



","
[東]
斎藤誠
","
サンデーレーシング
",270,201406030812
5,5,5,"
サトノネプチューン
",牡4,57,"
福永祐一
",1:34.3,ハナ,"

**

",1-2-2,35.5,4.6,2,496(+2),"

","

","



","
[東]
堀宣行
","
里見治
",179,201406030812
6,6,7,"
カフェリュウジン
",牡4,57,"
柴田大知
",1:34.4,3/4,"

**

",10-5-3,34.5,20.1,9,526(+2),"

","

","



","
[東]
和田雄二
","
西川恭子
",,201406030812
7,3,3,"
アラフネ
",牝5,55,"
吉田豊
",1:34.9,3,"

**

",10-9-9,34.5,88.5,11,460(-2),"

","

","



","
[東]
高橋裕
","
アラキファーム
",,201406030812
8,2,2,"
メイショウスザンナ
",牝5,55,"
内田博幸
",1:34.9,クビ,"

**

",2-3-3,35.1,8.3,4,462(+2),"

","

","
","
[西]
高橋義忠
","
松本好隆
",,201406030812
9,7,9,"
オメガキングティー
",牡4,57,"
岩田康誠
",1:35.0,クビ,"

**

",12-11-10,34.5,18.4,8,464(-6),"

","

","



","
[東]
斎藤誠
","
原礼子
",,201406030812
10,6,8,"
ジーニマジック
",牝4,55,"
田中勝春
",1:35.0,クビ,"

**

",5-5-6,35.1,37.1,10,476(+4),"

","

","
","
[東]
小笠倫弘
","
田所英子
",,201406030812
11,7,10,"
キッズニゴウハン
",牡6,57,"
田辺裕信
",1:35.0,アタマ,"

**

",6-11-11,34.5,12,7,494(+2),"

","

","
","
[東]
牧光二
","
瀬谷隆雄
",,201406030812
12,8,11,"
トーホウプリンセス
",牝7,55,"
江田照男
",1:36.2,7,"

**

",6-9-12,35.9,116.2,12,502(+2),"

","

","



","
[東]
田中清隆
","
東豊物産
",,201406030812
1,5,10,"
ミヤジエルビス
",牡4,56,"
戸崎圭太
",1:10.7,,"

**

",7-7,36.1,3.5,1,484(-8),"

","

","
","
[西]
川村禎彦
","
曽我司
",1827.1,201406040110
2,4,8,"
アルベルティ
",牡6,53,"
後藤浩輝
",1:10.9,1.1/4,"

**

",5-4,36.5,50.3,13,516(+6),"

","

","
","
[東]
小島太
","
Ｈ．Ｈ．シェイク・モハメド
",730.6,201406040110
3,3,5,"
タマブラックホール
",牡5,56,"
石橋脩
",1:11.1,1.1/4,"

**

",11-11,35.6,4.2,3,516(+6),"

","

","
","
[東]
相沢郁
","
玉井鶴枝
",455.3,201406040110
4,2,3,"
サウスビクトル
",牡5,54,"
田辺裕信
",1:11.2,3/4,"

**

",2-2,37.2,46.6,11,470(-6),"

","

","
","
[東]
久保田貴
","
南波壽
",270,201406040110
5,1,1,"
アビリティラヴ
",牡4,57.5,"
柴田善臣
",1:11.2,ハナ,"

**

",4-4,37,3.8,2,490(+4),"

","

","
","
[東]
本間忍
","
本間充
",179,201406040110
6,3,6,"
クロタカ
",牝5,53,"
嶋田純次
",1:11.4,1,"

**

",11-11,35.9,30.4,10,500(+10),"

","

","
","
[東]
手塚貴久
","
槇本牧場
",,201406040110
7,8,15,"
ゲンパチメジャー
",牡5,54,"
岩部純二
",1:11.4,ハナ,"

**

",13-13,35.7,122.1,14,498(+4),"

","

","
","
[東]
萱野浩二
","
平野武志
",,201406040110
8,6,12,"
アポロスターズ
",牡3,53,"
北村宏司
",1:11.4,クビ,"

**

",10-9,36.5,13.2,5,504(+2),"

","

","
","
[東]
堀井雅広
","
アポロサラブレッドクラブ
",,201406040110
9,7,13,"
エリモフェザー
",牝4,52,"
江田照男
",1:11.5,3/4,"

**

",3-3,37.4,25.1,9,436(+4),"

","

","
","
[東]
中野栄治
","
山本慎一
",,201406040110
10,4,7,"
リックムファサ
",牡6,54,"
津村明秀
",1:11.6,クビ,"

**

",9-9,36.9,23.6,8,472(0),"

","

","
","
[東]
清水英克
","
山邉浩
",,201406040110
11,2,4,"
テムジン
",牡5,55,"
丸田恭介
",1:11.6,ハナ,"

**

",15-15,35.4,16.3,6,488(+2),"

","

","



","
[東]
田島俊明
","
熊谷貴之
",,201406040110
12,5,9,"
シゲルオオスミ
",牝3,52,"
田中勝春
",1:11.7,3/4,"

**

",5-6,37.4,10.8,4,450(+2),"

","

","
","
[東]
松永康利
","
森中蕃
",,201406040110
13,1,2,"
デンコウヒノマル
",牡3,53,"
藤岡佑介
",1:11.8,1/2,"

**

",1-1,37.9,17.9,7,482(-10),"

","

","
","
[西]
坂口正則
","
田中康弘
",,201406040110
14,8,16,"
ローブドヴルール
",牝8,52,"
松岡正海
",1:11.9,1/2,"

**

",7-7,37.4,49.7,12,506(+8),"

","

","
","
[東]
斎藤誠
","
ミルファーム
",,201406040110
15,7,14,"
イチエイクリッパー
",牡7,52,"
武士沢友
",1:12.2,1.3/4,"

**

",13-14,36.4,229.4,15,518(-6),"

","

","
","
[東]
浅野洋一
","
栃本實
",,201406040110
取,6,11,"
フォルテリコルド
",牡5,54,"
横山典弘
",,,"

**

",,,---,,計不,"

","

","
","
[東]
古賀史生
","
サンデーレーシング
",,201406040110
1,5,8,"
デスペラード
",牡6,57,"
横山典弘
",3:47.8,,"

**

",3-3-4-3,35.4,5.2,3,474(+6),"

","

","
","
[西]
安達昭夫
","
市川義美
",6112,201406040111
2,7,12,"
ファタモルガーナ
",セ6,56,"
戸崎圭太
",3:47.9,1/2,"

**

",2-2-1-2,35.8,7.8,4,492(-2),"

","

","
","
[西]
荒川義之
","
キャロットファーム
",2432,201406040111
3,2,2,"
クリールカイザー
",牡5,56,"
吉田豊
",3:48.2,1.3/4,"

**

",5-5-7-5,35.6,3.4,1,490(+4),"

","

","
","
[東]
相沢郁
","
横山修二
",1516,201406040111
4,3,5,"
スズカデヴィアス
",牡3,54,"
藤岡佑介
",3:48.4,1,"

**

",6-8-7-5,35.7,9.4,6,496(-4),"

","

","
","
[西]
橋田満
","
永井啓弍
",900,201406040111
5,7,13,"
ホッコーブレーヴ
",牡6,56,"
田辺裕信
",3:48.5,3/4,"

**

",12-12-10-5,35.7,4.8,2,480(-4),"

","

","
","
[東]
松永康利
","
矢部道晃
",600,201406040111
6,6,11,"
ネオブラックダイヤ
",牡6,56,"
柴田善臣
",3:48.8,2,"

**

",1-1-2-1,36.7,36.1,10,524(+10),"

","

","
","
[東]
鹿戸雄一
","
小林仁幸
",,201406040111
7,4,6,"
スノードン
",牡5,56,"
津村明秀
",3:48.9,1/2,"

**

",12-12-10-10,36,65.3,12,486(0),"

","

","
","
[西]
安田隆行
","
Ｈ．Ｈ．シェイク・モハメド
",,201406040111
8,2,3,"
サイモントルナーレ
",牡8,56,"
丸田恭介
",3:48.9,クビ,"

**

",14-12-14-14,35.7,271,15,464(+10),"

","

","
","
[東]
田中清隆
","
澤田昭紀
",,201406040111
9,4,7,"
セイクリッドバレー
",牡8,56,"
三浦皇成
",3:48.9,アタマ,"

**

",14-15-14-14,35.7,27.4,8,502(+8),"

","

","
","
[東]
高橋裕
","
吉田勝己
",,201406040111
10,8,15,"
スカイディグニティ
",牡5,56,"
北村宏司
",3:49.0,3/4,"

**

",6-5-4-5,36.6,7.9,5,506(0),"

","

","
","
[西]
友道康夫
","
Ｇ１レーシング
",,201406040111
11,3,4,"
ケイアイチョウサン
",牡4,56,"
田中勝春
",3:49.1,1/2,"

**

",9-10-13-10,36.1,19.4,7,450(-4),"

","

","
","
[東]
小笠倫弘
","
チョウサン
",,201406040111
12,5,9,"
マイネルメダリスト
",牡6,57,"
柴田大知
",3:49.4,1.3/4,"

**

",9-10-2-3,37.2,33.5,9,496(+8),"

","

","
","
[東]
田中清隆
","
サラブレッドクラブ・ラフィアン
",,201406040111
13,8,14,"
アップルジャック
",牡6,56,"
江田照男
",3:49.7,1.3/4,"

**

",3-3-7-10,37.1,129,14,516(-6),"

","

","
","
[東]
堀井雅広
","
藤田在子
",,201406040111
14,1,1,"
メイショウタマカゼ
",牡5,56,"
大野拓弥
",3:49.9,1.1/4,"

**

",6-7-10-10,37,95.4,13,450(-16),"

","

","
","
[西]
荒川義之
","
松本好雄
",,201406040111
15,6,10,"
モビール
",牡6,56,"
後藤浩輝
",3:51.0,7,"

**

",9-8-4-9,38.6,41.5,11,476(+4),"

","

","
","
[東]
武市康男
","
吉田照哉
",,201406040111
1,4,8,"
ウエスタンメルシー
",牝3,54,"
後藤浩輝
",1:35.1,,"

**

",8-8-8,34,34.3,11,460(+6),"

","

","
","
[東]
奥村武
","
西川賢
",1020,201406040112
2,6,12,"
マイネルアウラート
",牡3,56,"
松岡正海
",1:35.3,1.1/4,"

**

",5-6-6,34.4,11.3,5,454(+8),"

","

","
","
[東]
高橋裕
","
サラブレッドクラブ・ラフィアン
",410,201406040112
3,4,7,"
ゴールドカルラ
",牝6,55,"
大野拓弥
",1:35.4,1/2,"

**

",2-2-2,35,11.3,4,524(-2),"

","

","
","
[東]
高木登
","
磯波勇
",260,201406040112
4,7,14,"
エデンロック
",牡4,57,"
田中勝春
",1:35.4,アタマ,"

**

",5-3-2,34.7,11.5,6,470(+4),"

","

","



","
[東]
小島茂之
","
田原邦男
",150,201406040112
5,6,11,"
ケイティープライド
",牡4,57,"
三浦皇成
",1:35.4,アタマ,"

**

",4-3-2,34.8,3.9,1,488(+12),"

","

","
","
[西]
角田晃一
","
Ｇ１レーシング
",102,201406040112
6,3,6,"
コスモトゥルーラヴ
",牡5,57,"
丹内祐次
",1:35.6,1.1/4,"

**

",1-1-1,35.3,30.4,10,508(+2),"

","

","
","
[東]
栗田博憲
","
ビッグレッドファーム
",,201406040112
7,5,9,"
フジマサエンペラー
",牡5,57,"
横山典弘
",1:35.6,クビ,"

**

",14-12-12,33.6,4.1,2,504(+4),"

","

","



","
[東]
菊川正達
","
藤原正一
",,201406040112
8,1,1,"
カグニザント
",セ6,57,"
丸田恭介
",1:35.6,ハナ,"

**

",12-10-8,34.3,22.3,9,472(-4),"

","

","



","
[東]
国枝栄
","
社台レースホース
",,201406040112
9,7,13,"
サトノネプチューン
",牡4,57,"
戸崎圭太
",1:35.7,クビ,"

**

",10-10-11,34.3,5.3,3,494(0),"

","

","



","
[東]
堀宣行
","
里見治
",,201406040112
10,2,3,"
シーギリヤガール
",牝4,55,"
柴田大知
",1:35.7,クビ,"

**

",5-6-6,34.8,15.1,7,456(+2),"

","

","
","
[東]
清水英克
","
ビッグレッドファーム
",,201406040112
11,1,2,"
タケルハヤテ
",牡6,54,"
原田和真
",1:35.9,1,"

**

",8-8-8,34.8,126.3,16,470(+18),"

","

","
","
[東]
池上昌弘
","
森保彦
",,201406040112
12,3,5,"
トーセンジャステス
",牡4,57,"
石橋脩
",1:35.9,アタマ,"

**

",16-16-15,33.5,17.9,8,550(-2),"

","

","



","
[東]
鈴木康弘
","
島川隆哉
",,201406040112
13,8,15,"
プレノタート
",牝5,55,"
藤岡佑介
",1:36.0,3/4,"

**

",12-14-14,33.8,80.9,15,470(-2),"

","

","



","
[西]
牧浦充徳
","
シルクレーシング
",,201406040112
14,2,4,"
エメラルスピード
",牡6,57,"
北村宏司
",1:36.2,1.1/4,"

**

",2-3-5,35.5,47,13,490(+30),"

","

","
","
[東]
勢司和浩
","
高橋勉
",,201406040112
15,8,16,"
ビームライフル
",牡5,57,"
田辺裕信
",1:36.2,クビ,"

**

",11-12-12,34.3,71.4,14,474(+2),"

","

","



","
[東]
杉浦宏昭
","
西山茂行
",,201406040112
16,5,10,"
プリサイスエース
",牡3,56,"
吉田豊
",1:36.2,ハナ,"

**

",14-14-15,33.9,38.5,12,510(+8),"

","

","



","
[東]
奥村武
","
井山登
",,201406040112
1,1,1,"
ペイシャフェリス
",牝3,54,"
柴山雄一
",1:33.3,,"

**

",2-1-1,35.5,11.2,4,442(+2),"

","

","
","
[東]
高市圭二
","
北所直人
",1814.5,201406040210
2,4,4,"
マンボネフュー
",牡4,57,"
後藤浩輝
",1:33.3,ハナ,"

**

",4-4-4,35.1,3.5,2,490(+12),"

","

","
","
[東]
国枝栄
","
金子真人ホールディングス
",727,201406040210
3,6,6,"
ダノンジェラート
",牡5,57,"
横山典弘
",1:33.3,クビ,"

**

",6-6-7,34.6,1.6,1,486(0),"

","

","



","
[東]
萩原清
","
ダノックス
",453.5,201406040210
4,2,2,"
リヴェレンテ
",牡6,57,"
三浦皇成
",1:33.6,2,"

**

",6-6-5,34.9,8.3,3,506(-8),"

","

","
","
[西]
浅見秀一
","
社台レースホース
",270,201406040210
5,8,8,"
ハーキュリーズ
",牡6,57,"
石橋脩
",1:33.9,1.3/4,"

**

",4-5-5,35.5,16.5,6,446(-2),"

","

","
","
[西]
角居勝彦
","
社台レースホース
",179,201406040210
6,5,5,"
ウインスプラッシュ
",牡3,56,"
ブノワ
",1:34.0,1/2,"

**

",1-2-2,36,15.7,5,498(-2),"

","

","
","
[西]
加用正
","
ウイン
",,201406040210
7,3,3,"
アラフネ
",牝5,55,"
吉田豊
",1:34.1,1/2,"

**

",8-8-8,35.1,60.6,7,464(+6),"

","

","



","
[東]
高橋裕
","
アラキファーム
",,201406040210
8,7,7,"
マイネヒメル
",牝5,55,"
柴田大知
",1:34.7,3.1/2,"

**

",3-2-2,36.8,71.1,8,480(-8),"

","

","
","
[東]
菊沢隆徳
","
サラブレッドクラブ・ラフィアン
",,201406040210
